"","Threshold","Sensitivity","Specificity","NPV","PPV","Accuracy","AUC","Number of Covariates Selected"
"Full Training 0.5",0.5,8,99,96,35,96,86,34
"Full Training",0.04,85,73,99,12,73,86,34
"Full Training*",0.06,79,79,98,19,79,86,34
"Full Training 0.03",0.03,90,62,99,9,63,86,34
"Under-Sampled",0.4,85,73,99,12,73,86,30
"Under-Sampled*",0.44,83,77,82,78,80,86,30
"Under-Sampled 0.5",0.5,75,81,99,14,81,86,30
"Over-Sampled",0.4,85,74,99,12,74,86,34
"Over-Sampled*",0.46,82,77,81,78,80,87,34
"Over-Sampled 0.5",0.5,75,82,99,15,81,86,34
"SMOTE",0.46,75,83,99,16,83,86,34
"SMOTE*",0.35,84,75,86,71,79,87,34
"SMOTE 0.5",0.5,71,86,99,17,85,86,34
